sa2_type,day,hour,timestamp,day_num,week,pop
Recreational,Sun,188,2020-04-19T20:00:00Z,7,pop_2019,86336.75
Recreational,Sun,189,2020-04-19T21:00:00Z,7,pop_2019,86116.25
Recreational,Sun,190,2020-04-19T22:00:00Z,7,pop_2019,86094
Recreational,Sun,191,2020-04-19T23:00:00Z,7,pop_2019,86057
Residential,Mon,24,2020-04-13T00:00:00Z,1,pop_2019,1828505
Residential,Mon,25,2020-04-13T01:00:00Z,1,pop_2019,1829719.25
Residential,Mon,26,2020-04-13T02:00:00Z,1,pop_2019,1830732
Residential,Mon,27,2020-04-13T03:00:00Z,1,pop_2019,1831372
Residential,Mon,28,2020-04-13T04:00:00Z,1,pop_2019,1830426
Residential,Mon,29,2020-04-13T05:00:00Z,1,pop_2019,1824248.75
Residential,Mon,30,2020-04-13T06:00:00Z,1,pop_2019,1800294.75
Residential,Mon,31,2020-04-13T07:00:00Z,1,pop_2019,1743208.5
Residential,Mon,32,2020-04-13T08:00:00Z,1,pop_2019,1646520.25
Residential,Mon,33,2020-04-13T09:00:00Z,1,pop_2019,1563542.25
Residential,Mon,34,2020-04-13T10:00:00Z,1,pop_2019,1510971
Residential,Mon,35,2020-04-13T11:00:00Z,1,pop_2019,1473908
Residential,Mon,36,2020-04-13T12:00:00Z,1,pop_2019,1448589.75
Residential,Mon,37,2020-04-13T13:00:00Z,1,pop_2019,1437705.25
Residential,Mon,38,2020-04-13T14:00:00Z,1,pop_2019,1436350.25
Residential,Mon,39,2020-04-13T15:00:00Z,1,pop_2019,1450219.75
Residential,Mon,40,2020-04-13T16:00:00Z,1,pop_2019,1492392.5
Residential,Mon,41,2020-04-13T17:00:00Z,1,pop_2019,1562099
Residential,Mon,42,2020-04-13T18:00:00Z,1,pop_2019,1630857
Residential,Mon,43,2020-04-13T19:00:00Z,1,pop_2019,1674509.5
Residential,Mon,44,2020-04-13T20:00:00Z,1,pop_2019,1703969
Residential,Mon,45,2020-04-13T21:00:00Z,1,pop_2019,1729146.25
Residential,Mon,46,2020-04-13T22:00:00Z,1,pop_2019,1745815.25
Residential,Mon,47,2020-04-13T23:00:00Z,1,pop_2019,1758463
Residential,Tue,48,2020-04-14T00:00:00Z,2,pop_2019,1772700.5
Residential,Tue,49,2020-04-14T01:00:00Z,2,pop_2019,1773506
Residential,Tue,50,2020-04-14T02:00:00Z,2,pop_2019,1774393.75
Residential,Tue,51,2020-04-14T03:00:00Z,2,pop_2019,1775146.75
Residential,Tue,52,2020-04-14T04:00:00Z,2,pop_2019,1774584
Residential,Tue,53,2020-04-14T05:00:00Z,2,pop_2019,1768898
Residential,Tue,54,2020-04-14T06:00:00Z,2,pop_2019,1744063.75
Residential,Tue,55,2020-04-14T07:00:00Z,2,pop_2019,1682273.25
Residential,Tue,56,2020-04-14T08:00:00Z,2,pop_2019,1578325.5
Residential,Tue,57,2020-04-14T09:00:00Z,2,pop_2019,1491087.25
Residential,Tue,58,2020-04-14T10:00:00Z,2,pop_2019,1436453
Residential,Tue,59,2020-04-14T11:00:00Z,2,pop_2019,1399634.75
Residential,Tue,60,2020-04-14T12:00:00Z,2,pop_2019,1375925.75
Residential,Tue,61,2020-04-14T13:00:00Z,2,pop_2019,1366583.75
Residential,Tue,62,2020-04-14T14:00:00Z,2,pop_2019,1366699
Residential,Tue,63,2020-04-14T15:00:00Z,2,pop_2019,1383915.25
Residential,Tue,64,2020-04-14T16:00:00Z,2,pop_2019,1428734.75
Residential,Tue,65,2020-04-14T17:00:00Z,2,pop_2019,1508862.5
Residential,Tue,66,2020-04-14T18:00:00Z,2,pop_2019,1588806.75
Residential,Tue,67,2020-04-14T19:00:00Z,2,pop_2019,1634729.25
Residential,Tue,68,2020-04-14T20:00:00Z,2,pop_2019,1669406.25
Residential,Tue,69,2020-04-14T21:00:00Z,2,pop_2019,1697446.75
Residential,Tue,70,2020-04-14T22:00:00Z,2,pop_2019,1718235.25
Residential,Tue,71,2020-04-14T23:00:00Z,2,pop_2019,1730325.25
Residential,Wed,72,2020-04-15T00:00:00Z,3,pop_2019,1745805.5
Residential,Wed,73,2020-04-15T01:00:00Z,3,pop_2019,1749590.8
Residential,Wed,74,2020-04-15T02:00:00Z,3,pop_2019,1750474.4
Residential,Wed,75,2020-04-15T03:00:00Z,3,pop_2019,1751086
Residential,Wed,76,2020-04-15T04:00:00Z,3,pop_2019,1750812.2
Residential,Wed,77,2020-04-15T05:00:00Z,3,pop_2019,1745548.6
Residential,Wed,78,2020-04-15T06:00:00Z,3,pop_2019,1722621.4
Residential,Wed,79,2020-04-15T07:00:00Z,3,pop_2019,1666030.6
Residential,Wed,80,2020-04-15T08:00:00Z,3,pop_2019,1567290.8
Residential,Wed,81,2020-04-15T09:00:00Z,3,pop_2019,1478397.2
Residential,Wed,82,2020-04-15T10:00:00Z,3,pop_2019,1424128.8
Residential,Wed,83,2020-04-15T11:00:00Z,3,pop_2019,1388345.8
Residential,Wed,84,2020-04-15T12:00:00Z,3,pop_2019,1364390.4
Residential,Wed,85,2020-04-15T13:00:00Z,3,pop_2019,1356497.2
Residential,Wed,86,2020-04-15T14:00:00Z,3,pop_2019,1357091.2
Residential,Wed,87,2020-04-15T15:00:00Z,3,pop_2019,1373882.8
Residential,Wed,88,2020-04-15T16:00:00Z,3,pop_2019,1415601
Residential,Wed,89,2020-04-15T17:00:00Z,3,pop_2019,1494890.2
Residential,Wed,90,2020-04-15T18:00:00Z,3,pop_2019,1574244.2
Residential,Wed,91,2020-04-15T19:00:00Z,3,pop_2019,1621378.2
Residential,Wed,92,2020-04-15T20:00:00Z,3,pop_2019,1655260
Residential,Wed,93,2020-04-15T21:00:00Z,3,pop_2019,1684398.8
Residential,Wed,94,2020-04-15T22:00:00Z,3,pop_2019,1706250.4
Residential,Wed,95,2020-04-15T23:00:00Z,3,pop_2019,1720302.8
Residential,Thu,96,2020-04-16T00:00:00Z,4,pop_2019,1755247.4
Residential,Thu,97,2020-04-16T01:00:00Z,4,pop_2019,1757803.4
Residential,Thu,98,2020-04-16T02:00:00Z,4,pop_2019,1759713.6
Residential,Thu,99,2020-04-16T03:00:00Z,4,pop_2019,1760390
Residential,Thu,100,2020-04-16T04:00:00Z,4,pop_2019,1760751
Residential,Thu,101,2020-04-16T05:00:00Z,4,pop_2019,1755906.2
Residential,Thu,102,2020-04-16T06:00:00Z,4,pop_2019,1734371.2
Residential,Thu,103,2020-04-16T07:00:00Z,4,pop_2019,1684869.2
Residential,Thu,104,2020-04-16T08:00:00Z,4,pop_2019,1598199.6
Residential,Thu,105,2020-04-16T09:00:00Z,4,pop_2019,1519963.8
Residential,Thu,106,2020-04-16T10:00:00Z,4,pop_2019,1472146.2
Residential,Thu,107,2020-04-16T11:00:00Z,4,pop_2019,1439735.6
Residential,Thu,108,2020-04-16T12:00:00Z,4,pop_2019,1418629.4
Residential,Thu,109,2020-04-16T13:00:00Z,4,pop_2019,1405228.2
Residential,Thu,110,2020-04-16T14:00:00Z,4,pop_2019,1402570.4
Residential,Thu,111,2020-04-16T15:00:00Z,4,pop_2019,1420416
Residential,Thu,112,2020-04-16T16:00:00Z,4,pop_2019,1461036.2
Residential,Thu,113,2020-04-16T17:00:00Z,4,pop_2019,1528708.4
Residential,Thu,114,2020-04-16T18:00:00Z,4,pop_2019,1596528.6
Residential,Thu,115,2020-04-16T19:00:00Z,4,pop_2019,1636169.6
Residential,Thu,116,2020-04-16T20:00:00Z,4,pop_2019,1667538
Residential,Thu,117,2020-04-16T21:00:00Z,4,pop_2019,1696198.2
Residential,Thu,118,2020-04-16T22:00:00Z,4,pop_2019,1720130
Residential,Thu,119,2020-04-16T23:00:00Z,4,pop_2019,1735526.6
Residential,Fri,120,2020-04-17T00:00:00Z,5,pop_2019,1761999.25
Residential,Fri,121,2020-04-17T01:00:00Z,5,pop_2019,1764408.25
Residential,Fri,122,2020-04-17T02:00:00Z,5,pop_2019,1766093.25
Residential,Fri,123,2020-04-17T03:00:00Z,5,pop_2019,1767137.25
Residential,Fri,124,2020-04-17T04:00:00Z,5,pop_2019,1767518.75
Residential,Fri,125,2020-04-17T05:00:00Z,5,pop_2019,1763817.75
Residential,Fri,126,2020-04-17T06:00:00Z,5,pop_2019,1744910
Residential,Fri,127,2020-04-17T07:00:00Z,5,pop_2019,1698234.75
Residential,Fri,128,2020-04-17T08:00:00Z,5,pop_2019,1616552.25
Residential,Fri,129,2020-04-17T09:00:00Z,5,pop_2019,1541418.75
Residential,Fri,130,2020-04-17T10:00:00Z,5,pop_2019,1495550.25
Residential,Fri,131,2020-04-17T11:00:00Z,5,pop_2019,1465968.5
Residential,Fri,132,2020-04-17T12:00:00Z,5,pop_2019,1447611.75
Residential,Fri,133,2020-04-17T13:00:00Z,5,pop_2019,1441925.75
Residential,Fri,134,2020-04-17T14:00:00Z,5,pop_2019,1446730
Residential,Fri,135,2020-04-17T15:00:00Z,5,pop_2019,1465205.25
Residential,Fri,136,2020-04-17T16:00:00Z,5,pop_2019,1504950
Residential,Fri,137,2020-04-17T17:00:00Z,5,pop_2019,1564951
Residential,Fri,138,2020-04-17T18:00:00Z,5,pop_2019,1617665.25
Residential,Fri,139,2020-04-17T19:00:00Z,5,pop_2019,1646829.5
Residential,Fri,140,2020-04-17T20:00:00Z,5,pop_2019,1669579.25
Residential,Fri,141,2020-04-17T21:00:00Z,5,pop_2019,1692266
Residential,Fri,142,2020-04-17T22:00:00Z,5,pop_2019,1715724.5
Residential,Fri,143,2020-04-17T23:00:00Z,5,pop_2019,1731017.25
Residential,Sat,144,2020-04-18T00:00:00Z,6,pop_2019,1779097.75
Residential,Sat,145,2020-04-18T01:00:00Z,6,pop_2019,1781428.25
Residential,Sat,146,2020-04-18T02:00:00Z,6,pop_2019,1783957.25
Residential,Sat,147,2020-04-18T03:00:00Z,6,pop_2019,1786377.25
Residential,Sat,148,2020-04-18T04:00:00Z,6,pop_2019,1788183.75
Residential,Sat,149,2020-04-18T05:00:00Z,6,pop_2019,1787931.25
Residential,Sat,150,2020-04-18T06:00:00Z,6,pop_2019,1781912.75
Residential,Sat,151,2020-04-18T07:00:00Z,6,pop_2019,1771102.25
Residential,Sat,152,2020-04-18T08:00:00Z,6,pop_2019,1753068
Residential,Sat,153,2020-04-18T09:00:00Z,6,pop_2019,1720022.25
Residential,Sat,154,2020-04-18T10:00:00Z,6,pop_2019,1677889.5
Residential,Sat,155,2020-04-18T11:00:00Z,6,pop_2019,1640840.5
Residential,Sat,156,2020-04-18T12:00:00Z,6,pop_2019,1620560
Residential,Sat,157,2020-04-18T13:00:00Z,6,pop_2019,1617479
Residential,Sat,158,2020-04-18T14:00:00Z,6,pop_2019,1621744.75
Residential,Sat,159,2020-04-18T15:00:00Z,6,pop_2019,1635223
Residential,Sat,160,2020-04-18T16:00:00Z,6,pop_2019,1657991.5
