days,regc2018_name,mobility
2020-04-05,Hawke's Bay Region,-45.41
2020-04-05,Manawatu-Wanganui Region,-40.65
2020-04-05,Marlborough Region,-40.06
2020-04-05,Nelson Region,-44.13
2020-04-05,Northland Region,-24.69
2020-04-05,Otago Region,-54.49
2020-04-05,Southland Region,-54.23
2020-04-05,Taranaki Region,-47.26
2020-04-05,Tasman Region,-45.45
2020-04-05,Waikato Region,-53.19
2020-04-05,Wellington Region,-49.38
2020-04-05,West Coast Region,-51.93
2020-04-06,Auckland Region,-63.76
2020-04-06,Bay of Plenty Region,-57.8
2020-04-06,Canterbury Region,-59.83
2020-04-06,Gisborne Region,-41.5
2020-04-06,Hawke's Bay Region,-53.79
2020-04-06,Manawatu-Wanganui Region,-51.56
2020-04-06,Marlborough Region,-47.33
2020-04-06,Nelson Region,-61.08
2020-04-06,Northland Region,-42.43
2020-04-06,Otago Region,-58.89
2020-04-06,Southland Region,-59.47
2020-04-06,Taranaki Region,-59.51
2020-04-06,Tasman Region,-54.17
2020-04-06,Waikato Region,-57.9
2020-04-06,Wellington Region,-68.98
2020-04-06,West Coast Region,-49.09
2020-04-07,Auckland Region,-64.66
2020-04-07,Bay of Plenty Region,-59.72
2020-04-07,Canterbury Region,-60.75
2020-04-07,Gisborne Region,-48.06
2020-04-07,Hawke's Bay Region,-54.09
2020-04-07,Manawatu-Wanganui Region,-52.32
2020-04-07,Marlborough Region,-39.69
2020-04-07,Nelson Region,-64.49
2020-04-07,Northland Region,-42.85
2020-04-07,Otago Region,-60
2020-04-07,Southland Region,-61.41
2020-04-07,Taranaki Region,-62.77
2020-04-07,Tasman Region,-54.6
2020-04-07,Waikato Region,-56.98
2020-04-07,Wellington Region,-70.25
2020-04-07,West Coast Region,-52.23
2020-04-08,Auckland Region,-64
2020-04-08,Bay of Plenty Region,-59.15
2020-04-08,Canterbury Region,-59.28
2020-04-08,Gisborne Region,-39.45
2020-04-08,Hawke's Bay Region,-51.78
2020-04-08,Manawatu-Wanganui Region,-50.48
2020-04-08,Marlborough Region,-43.66
2020-04-08,Nelson Region,-59.04
2020-04-08,Northland Region,-39.52
2020-04-08,Otago Region,-58.86
2020-04-08,Southland Region,-58.53
2020-04-08,Taranaki Region,-59.52
2020-04-08,Tasman Region,-49.18
2020-04-08,Waikato Region,-55.02
2020-04-08,Wellington Region,-68.36
2020-04-08,West Coast Region,-51.54
2020-04-09,Auckland Region,-63.8
2020-04-09,Bay of Plenty Region,-58.58
2020-04-09,Canterbury Region,-60.08
2020-04-09,Gisborne Region,-42.59
2020-04-09,Hawke's Bay Region,-53.27
2020-04-09,Manawatu-Wanganui Region,-49.57
2020-04-09,Marlborough Region,-38.63
2020-04-09,Nelson Region,-58.71
2020-04-09,Northland Region,-38.91
2020-04-09,Otago Region,-58.48
2020-04-09,Southland Region,-59.32
2020-04-09,Taranaki Region,-60.93
2020-04-09,Tasman Region,-52.06
2020-04-09,Waikato Region,-56.19
2020-04-09,Wellington Region,-68.27
2020-04-09,West Coast Region,-49.59
2020-04-10,Auckland Region,-74.38
2020-04-10,Bay of Plenty Region,-71.42
2020-04-10,Canterbury Region,-71.99
2020-04-10,Gisborne Region,-60.1
2020-04-10,Hawke's Bay Region,-67.63
2020-04-10,Manawatu-Wanganui Region,-64.26
2020-04-10,Marlborough Region,-44.87
2020-04-10,Nelson Region,-69.36
2020-04-10,Northland Region,-53.92
