timestamp,segment,pop,days
2020-05-12T12:00:00Z,domestic,206676,2020-05-12
2020-05-12T12:00:00Z,international,131802,2020-05-12
2020-05-12T12:00:00Z,local,4704042,2020-05-12
2020-05-12T12:00:00Z,unknown,45603,2020-05-12
2020-05-13T12:00:00Z,domestic,211935,2020-05-13
2020-05-13T12:00:00Z,international,131760,2020-05-13
2020-05-13T12:00:00Z,local,4695987,2020-05-13
2020-05-13T12:00:00Z,unknown,49488,2020-05-13
2020-05-14T12:00:00Z,domestic,266658,2020-05-14
2020-05-14T12:00:00Z,international,131334,2020-05-14
2020-05-14T12:00:00Z,local,4635231,2020-05-14
2020-05-14T12:00:00Z,unknown,56955,2020-05-14
2020-05-15T12:00:00Z,domestic,307992,2020-05-15
2020-05-15T12:00:00Z,international,131169,2020-05-15
2020-05-15T12:00:00Z,local,4595667,2020-05-15
2020-05-15T12:00:00Z,unknown,54858,2020-05-15
2020-05-16T12:00:00Z,domestic,398403,2020-05-16
2020-05-16T12:00:00Z,international,130542,2020-05-16
2020-05-16T12:00:00Z,local,4508970,2020-05-16
2020-05-16T12:00:00Z,unknown,52011,2020-05-16
2020-05-17T12:00:00Z,domestic,377373,2020-05-17
2020-05-17T12:00:00Z,international,130713,2020-05-17
2020-05-17T12:00:00Z,local,4512714,2020-05-17
2020-05-17T12:00:00Z,unknown,71715,2020-05-17
2020-05-18T12:00:00Z,domestic,303081,2020-05-18
2020-05-18T12:00:00Z,international,132012,2020-05-18
2020-05-18T12:00:00Z,local,4587846,2020-05-18
2020-05-18T12:00:00Z,unknown,66066,2020-05-18
2020-05-19T12:00:00Z,domestic,269886,2020-05-19
2020-05-19T12:00:00Z,international,132180,2020-05-19
2020-05-19T12:00:00Z,local,4690491,2020-05-19
2020-05-19T12:00:00Z,unknown,489,2020-05-19
2020-05-20T12:00:00Z,domestic,271308,2020-05-20
2020-05-20T12:00:00Z,international,132045,2020-05-20
2020-05-20T12:00:00Z,local,4689414,2020-05-20
2020-05-20T12:00:00Z,unknown,402,2020-05-20
2020-05-21T12:00:00Z,domestic,269754,2020-05-21
2020-05-21T12:00:00Z,international,131976,2020-05-21
2020-05-21T12:00:00Z,local,4690989,2020-05-21
2020-05-21T12:00:00Z,unknown,438,2020-05-21
2020-05-22T12:00:00Z,domestic,280458,2020-05-22
2020-05-22T12:00:00Z,international,131718,2020-05-22
2020-05-22T12:00:00Z,local,4680513,2020-05-22
2020-05-22T12:00:00Z,unknown,426,2020-05-22
2020-05-23T12:00:00Z,domestic,349950,2020-05-23
2020-05-23T12:00:00Z,international,131016,2020-05-23
