sa2_type,timestamp,pop_scaled
Recreational,2020-03-25T01:00:00Z,-0.8879670747135466
Recreational,2020-03-25T02:00:00Z,-0.8843084005026854
Recreational,2020-03-25T03:00:00Z,-0.8858764037359117
Recreational,2020-03-25T04:00:00Z,-0.8984204296017212
Recreational,2020-03-25T05:00:00Z,-0.9229858135889314
Recreational,2020-03-25T06:00:00Z,-0.9522552072758202
Recreational,2020-03-25T07:00:00Z,-0.8602656842598839
Recreational,2020-03-25T08:00:00Z,-0.6658332833398366
Recreational,2020-03-25T09:00:00Z,-0.543529031148194
Recreational,2020-03-25T10:00:00Z,-0.5074649567839917
Recreational,2020-03-25T11:00:00Z,-0.5257583278382972
Recreational,2020-03-25T12:00:00Z,-0.6172251831098248
Recreational,2020-03-25T13:00:00Z,-0.5079876245284004
Recreational,2020-03-25T14:00:00Z,-0.5147823052057139
Recreational,2020-03-25T15:00:00Z,-0.4703555469309719
Recreational,2020-03-25T16:00:00Z,-0.33916594308438086
Recreational,2020-03-25T17:00:00Z,-0.2701738008224286
Recreational,2020-03-25T18:00:00Z,-0.215293687659512
Recreational,2020-03-25T19:00:00Z,-0.17295760036240496
Recreational,2020-03-25T20:00:00Z,-0.20536300051574616
Recreational,2020-03-25T21:00:00Z,-0.3062378751866309
Recreational,2020-03-25T22:00:00Z,-0.4316781338447259
Recreational,2020-03-25T23:00:00Z,-0.4844675760300076
Recreational,2020-03-26T00:00:00Z,-0.44631283068817035
Recreational,2020-03-26T01:00:00Z,-0.4599021920427973
Recreational,2020-03-26T02:00:00Z,-0.46199286302043224
Recreational,2020-03-26T03:00:00Z,-0.46042485978720604
Recreational,2020-03-26T04:00:00Z,-0.41390743053482915
Recreational,2020-03-26T05:00:00Z,-0.41547543376805535
Recreational,2020-03-26T06:00:00Z,-0.4233154499341863
Recreational,2020-03-26T07:00:00Z,-0.3313259269182499
Recreational,2020-03-26T08:00:00Z,-0.11441881298862727
Recreational,2020-03-26T09:00:00Z,-0.002045247940750487
Recreational,2020-03-26T10:00:00Z,0.1354163688387453
Recreational,2020-03-26T11:00:00Z,0.1819337980911222
Recreational,2020-03-26T12:00:00Z,0.11241898808476122
Recreational,2020-03-26T13:00:00Z,-0.07521873215797259
Recreational,2020-03-26T14:00:00Z,-0.15100555509723831
Recreational,2020-03-26T15:00:00Z,-0.1666855874295002
Recreational,2020-03-26T16:00:00Z,-0.15466422930809942
Recreational,2020-03-26T17:00:00Z,-0.19281897464993666
Recreational,2020-03-26T18:00:00Z,-0.2518804297681231
Recreational,2020-03-26T19:00:00Z,-0.24194974262435723
Recreational,2020-03-26T20:00:00Z,-0.3130325558639444
Recreational,2020-03-26T21:00:00Z,-0.4358594757999958
Recreational,2020-03-26T22:00:00Z,-0.524190324605071
Recreational,2020-03-26T23:00:00Z,-0.49283025994054724
Recreational,2020-03-27T00:00:00Z,-0.4342914725667696
Recreational,2020-03-27T01:00:00Z,-0.45467551459871003
Recreational,2020-03-27T02:00:00Z,-0.42645145640063864
